PDI-Me-COOH,,PDI-OMe-COOH,,PDI-H-COOH,
wavelength,absorbance,wavelength,absorbance,wavelength,absorbance
217,0.3833,217,0.4303,217,0.3401
216,0.3766,216,0.423,216,0.3321
215,0.3697,215,0.4164,215,0.3234
214,0.3621,214,0.4079,214,0.3142
213,0.3534,213,0.4036,213,0.3043
212,0.3437,212,0.3901,212,0.294
211,0.3334,211,0.3808,211,0.2832
210,0.3226,210,0.369,210,0.2721
209,0.3112,209,0.3596,209,0.2608
208,0.2995,208,0.3511,208,0.2493
207,0.2875,207,0.3377,207,0.2377
206,0.2759,206,0.3263,206,0.2261
205,0.264,205,0.3148,205,0.2145
204,0.252,204,0.3065,204,0.203
203,0.2406,203,0.2934,203,0.1918
202,0.229,202,0.2833,202,0.1802
201,0.2184,201,0.2732,201,0.1698
200,0.2043,200,0.2629,200,0.1564
